
ভাবী,ভবিষ্যতে হবে এমন
পৌষালি,পৌষ মাসে উৎপন্ন ফসল 
মৃণাল,পদ্মের ডঁাটা বা নাল 
মৃণালিনী,পদ্মের ডঁাটা বা মৃণালসমূহ 
প্রশংসার্হ,প্রশংসার যোগ্য 
পৌর্বাপর্য,পূর্ব ও পরের অবস্থা 
সরাশন,পুরুষের কটিবন্ধ 
পরভৃৎ,পরকে পালন করে যে 
পরভৃত,পরের দ্বারা প্রতিপালিত যে 
অশিক্ষিতপটুত্ব,পূর্বে কোনো শিক্ষালাভ না করা সত্ত্বেও যে পারদর্শিকা 
শৈশবকাল থেকে,আশৈশব
উচ্ছৃঙ্খল,শৃঙ্খলা মানে না যে
গলদঘর্ম,শ্রমহেতু সর্বাঙ্গে ঘাম নিঃসরণ
বীতশোক,শোক দূর হয়েছে যার
যথাসক্তি,শক্তিকে অতিক্রম না করে
শত্রুঘ্ন,শত্রুকে বধ করেছেন যিনি
শিক্ষানবিশ,শিক্ষা করছে যে
বরেণ্য,শরণ করার যোগ্য যিনি
শরণার্থী,শরণ চায় যে
শ্রদ্ধেয়,শ্রদ্ধার যোগ্য
শত্রুজিৎ,শত্রুকে জয় করে যে
শতদল,শত পাপড়ি বিশিষ্ট
শিষ্য,শাসন করা যায় যাকে
শতাব্দী,শত অব্দের সমাহার
শ্ৰূয়মান,শোনা হচ্ছে যা
শব্দভেদী,শব্দ শুনে লক্ষ্যভেদ
অন্ত্যেষ্টি,শবদাহাদির চরম সংস্কার
শতবার্ষিকী,শতবর্ষ পূর্তির জন্য অনুষ্ঠান
শতধা,শত ভাগে বিভক্ত
শারদ,শরৎকাল সম্পর্কিত
সশঙ্ক,শঙ্কার সাথে বর্তমান
শৈব,শিবের উপাসক
ডমরু,শিবের বাদ্যযন্ত্র
শ্রুতিধর,শুনলেই যার মনে থাকে
অপরিণামদর্শী,শেষে কি হবে তা যে ভাবে না
পরিণামদর্শী,শেষে কি হবে তা যে বুঝতে পারে
শ্রাব্য,শোনবার যোগ্য
শুভাকাঙ্ক্ষী,শুভকামনা করে যে
ক্ষণজন্মা,শুভক্ষণে জন্ম যার
শ্রাদ্ধ,শ্রদ্ধার সাথে দেয়
মর্মর,শুল্কপত্রের ধ্বনি
ধবলা,শ্বেত বর্ণ গাভী
সুহৃদ,শোভন হৃদয় যার
অরিঘ্ন,শত্রুকে পীড়া দেয় যে
শত্রুঘ্ন,শত্রুকে হনন করে যে
শরদিন্দু,শরৎকালের উজ্জ্বল চঁাদ
পরন্তপ,শত্রুকে পীড়া দেয় যে
শাক্ত,শক্তির উপাসনা করে যে
শ্রব্যকাব্য,শুনতে হয় যে কাব্য
শ্রমজীবী,শ্রমের সাহায্যে জীবিকা অর্জন করে যারা
শ্রমকাতর,শ্রম করতে কষ্টবোধ করে যে
শ্রমসাধ্য,শ্রমের প্রয়োজন হয় যে কাজে
শকুন্তলা,শকুন্ত পাখির দ্বারা লালিত কন্যা
শ্রুত,শোনা হয়েছে এমন
শীতকাতুরে,শীত সহ্য করতে পারে না যে
শোধক/সংস্কারক,শোধন করেন যিনি
শালপ্রাংশু,শাল গাছের ন্যায় দীর্ঘাকার
শাস্ত্রজ্ঞ,শাস্ত্র জানেন যিনি
শুশ্রূষা,শ্রবণ করার ইচ্ছা
পরঞ্জয়,শত্রুকে জয় করেন যিনি
পুণ্ডরীক,শ্বেতবর্ণ পদ্ম
শ্যামায়মান,শ্যাম হচ্ছে যা
দণ্ডার্হ,শাস্তি লাভের যোগ্য
শোভমান,শোভা পাচ্ছে এমন
শ্রোতব্য,শ্রবণ করতে হয় এমন
অকুল,যে কুল বা বংশের সাথে বিবাহাদি চলে না
অকৃতকার্য,যার চেষ্টা সফল হয়নি
অকৃতাপরাধ,যে দোষ করেনি
অখ্যাতনামা,যার নাম খ্যাত নয়
অগণিত,যা গুণে শেষ করা যায় না
অগন্তব্য,যেখানে যাওয়া উচিত নয়
অচিন্তনীয়,যা ভাবা যায় না
অচিন্তিতপূর্ব,যা পূর্বে চিন্তা বা অনুমান করা হয়নি
অচেষ্টিত,যার জন্য চেষ্টা করা হয়নি
অজ্ঞাতপূর্ব,যা পূর্বে জানা যায়নি
অতলস্পর্শ,যার তল স্পর্শ করা যায় না
অদম্য,যাকে দমন করা যায় না
অদাহ্য,যা আগুনে পোড়ে না
অদৃষ্টবাদী,যে ব্যক্তি সম্পূর্ণ অদৃষ্টের ওপর নির্ভর করে চলে
অধরা,যাকে ধরা যায়নি
অনধিকারচর্চা,যে বিষয়ে অভিজ্ঞতা নেই সে বিষয়ে আলোচনা
অনপেক্ষ,যে অপরের ওপর নির্ভর করে না
অনামুখো,যার মুখ দেখলে অমঙ্গল হয়
অনিবার্য,যা ঘটবেই
অনুপম,যার উপমা নেই
অনুপ্ত,যা বপন করা হয়নি
অন্তর্যামী,যিনি অন্তরে অবস্থান করেন
অপকৃত,যার অপকার হয়েছে
অপরাজিত,যে পরাস্ত হয়নি
অবিসংবাদিত,যাতে বিরোধ বা মতভেদ নেই
অলৌকিক,যা ইহলোকের নয়
অশ্রুত,যা শোনা যায়নি
আত্মজ্ঞ,যে নিজের দোষগুণ বা স্বভাব জানে
আদ্রিয়মান,যে আদর পাচ্ছে
